Word,Color,Freq,Percentage,Type
Jealousy,Pink,1,1%,Negative
Jealousy,Brown,1,1%,Negative
Jealousy,Violet,1,1%,Negative
Lonely,Blue,47,46%,Negative
Lonely,Black,16,16%,Negative
Lonely,Gray,13,13%,Negative
Lonely,White,8,8%,Negative
Lonely,Red,4,4%,Negative
Lonely,Green,3,3%,Negative
Lonely,Yellow,2,2%,Negative
Lonely,Pink,2,2%,Negative
Lonely,Purple,2,2%,Negative
Lonely,Light blue,1,1%,Negative
Lonely,Pale green,1,1%,Negative
Lonely,Mahogany,1,1%,Negative
Lonely,Blue violet,1,1%,Negative
Lonely,Blue gray,1,1%,Negative
Mad,Red,82,83%,Negative
Mad,Black,13,13%,Negative
Mad,Blue,1,1%,Negative
Mad,Brown,1,1%,Negative
Mad,Dark Red,1,1%,Negative
Mad,Scarlett,1,1%,Negative
Misery,Black,47,47%,Negative
Misery,Red,20,20%,Negative
Misery,Blue,11,11%,Negative
Misery,Gray,10,10%,Negative
Misery,Green,6,6%,Negative
Misery,White,4,4%,Negative
Misery,Purple,1,1%,Negative
Misery,Brown,1,1%,Negative
Misery,Dark Purple,1,1%,Negative
Moody,Blue,22,22%,Negative
Moody,Gray,17,17%,Negative
Moody,Red,13,13%,Negative
Moody,Black,13,13%,Negative
Moody,Green,9,9%,Negative
Moody,Purple,8,8%,Negative
Moody,Brown,8,8%,Negative
Moody,Yellow,2,2%,Negative
Moody,Orange,2,2%,Negative
Moody,Maroon,2,2%,Negative
Moody,White,1,1%,Negative
Moody,Pink,1,1%,Negative
Moody,Navy,1,1%,Negative
Moody,Rainbow,1,1%,Negative
Moody,Indigo,1,1%,Negative
Nervous,Red,22,22%,Negative
Nervous,Green,16,16%,Negative
Nervous,Blue,15,15%,Negative
Nervous,Yellow,14,14%,Negative
Nervous,Gray,8,8%,Negative
Nervous,Orange,8,8%,Negative
Nervous,Black,5,5%,Negative
Nervous,Brown,5,5%,Negative
Nervous,White,4,4%,Negative
Nervous,Silver,1,1%,Negative
Nervous,Light green,1,1%,Negative
Nervous,Fuschia,1,1%,Negative
Panic,Red,72,71%,Negative
Panic,Black,8,8%,Negative
Panic,Blue,8,8%,Negative
Panic,Yellow,4,4%,Negative
Panic,White,2,2%,Negative
Panic,Green,2,2%,Negative
Panic,Purple,1,1%,Negative
Panic,Brown,1,1%,Negative
Panic,Orange,1,1%,Negative
Panic,Beige,1,1%,Negative
Panic,Indian red,1,1%,Negative
Rage,Red,89,90%,Negative
Rage,Black,8,8%,Negative
Rage,Pink,1,1%,Negative
Rage,Green,1,1%,Negative
Regretful,Red,29,29%,Negative
Regretful,Black,28,28%,Negative
Regretful,Blue,16,16%,Negative
Regretful,Green,8,8%,Negative
Regretful,Gray,7,7%,Negative
Regretful,Yellow,6,6%,Negative
Regretful,Purple,3,3%,Negative
Regretful,White,1,1%,Negative
Regretful,Pink,1,1%,Negative
Regretful,Brown,1,1%,Negative
Regretful,Orange,1,1%,Negative
Sad,Blue,61,60%,Negative
Sad,Black,19,19%,Negative
Sad,Red,7,7%,Negative
Sad,Gray,4,4%,Negative
Sad,Yellow,4,4%,Negative
Sad,Green,3,3%,Negative
Sad,Pink,1,1%,Negative
Sad,Purple,1,1%,Negative
Sad,Brown,1,1%,Negative
Sad,Midnight blue,1,1%,Negative
Scared,Red,38,38%,Negative
Scared,Black,31,31%,Negative
Scared,Blue,10,10%,Negative
Scared,Yellow,6,6%,Negative
Scared,White,4,4%,Negative
Scared,Green,4,4%,Negative
Scared,Gray,3,3%,Negative
Scared,Orange,3,3%,Negative
Scared,Purple,1,1%,Negative
Scared,Brown,1,1%,Negative
Shamed,Red,25,25%,Negative
Shamed,Blue,15,15%,Negative
Shamed,Gray,14,14%,Negative
Shamed,Black,14,14%,Negative
Shamed,Yellow,11,11%,Negative
Shamed,Green,10,10%,Negative
Shamed,Purple,2,2%,Negative
Shamed,Brown,2,2%,Negative
Shamed,Orange,2,2%,Negative
Shamed,White,1,1%,Negative
Shamed,Pink,1,1%,Negative
Shamed,Tan,1,1%,Negative
Shamed,Dark gray,1,1%,Negative
Shamed,Coffee black,1,1%,Negative
Suspicious,Red,36,36%,Negative
Word,Color,Freq,Percentage,Negative
Suspicious,Green,15,15%,Negative
Suspicious,Black,14,14%,Negative
Suspicious,Gray,13,13%,Negative
Suspicious,Blue,8,8%,Negative
Suspicious,Orange,7,7%,Negative
Suspicious,Purple,3,3%,Negative
Suspicious,White,2,2%,Negative
Suspicious,Yellow,1,1%,Negative
Suspicious,Brown,1,1%,Negative
Suspicious,Dark orange,1,1%,Negative
Tense,Red,42,42%,Negative
Tense,Black,18,18%,Negative
Tense,Green,9,9%,Negative
Tense,Gray,7,7%,Negative
Tense,Blue,6,6%,Negative
Tense,Orange,6,6%,Negative
Tense,Brown,4,4%,Negative
Tense,White,3,3%,Negative
Tense,Yellow,2,2%,Negative
Tense,Purple,2,2%,Negative
Tense,Tan,1,1%,Negative
Tense,Navy,1,1%,Negative
Terrified,Red,38,38%,Negative
Terrified,Black,36,36%,Negative
Terrified,Blue,9,9%,Negative
Terrified,Gray,6,6%,Negative
Terrified,Green,6,6%,Negative
Terrified,White,3,3%,Negative
Terrified,Yellow,1,1%,Negative
Terrified,Orange,1,1%,Negative
Terrified,Deep purple,1,1%,Negative
Troubled,Red,32,32%,Negative
Troubled,Blue,17,17%,Negative
Troubled,Gray,13,13%,Negative
Troubled,Green,13,13%,Negative
Troubled,Black,13,13%,Negative
Troubled,Brown,5,5%,Negative
Troubled,Orange,2,2%,Negative
Troubled,White,1,1%,Negative
Troubled,Yellow,1,1%,Negative
Troubled,Pink,1,1%,Negative
Troubled,Purple,1,1%,Negative
Troubled,Silver,1,1%,Negative
Troubled,Dark gray,1,1%,Negative
Unhappy,Blue,42,42%,Negative
Unhappy,Black,19,19%,Negative
Unhappy,Gray,15,15%,Negative
Unhappy,Red,11,11%,Negative
Unhappy,Yellow,4,4%,Negative
Unhappy,Brown,4,4%,Negative
Unhappy,Green,2,2%,Negative
Unhappy,Orange,2,2%,Negative
Unhappy,White,1,1%,Negative
Unhappy,Purple,1,1%,Negative
Upset,Blue,41,41%,Negative
Upset,Red,27,27%,Negative
Upset,Black,14,14%,Negative
Upset,Gray,8,8%,Negative
Upset,Brown,3,3%,Negative
Upset,Yellow,1,1%,Negative
Upset,Green,1,1%,Negative
Upset,Purple,1,1%,Negative
Upset,Orange,1,1%,Negative
Upset,Dark Red,1,1%,Negative
Upset,Peach,1,1%,Negative
Upset,Navy,1,1%,Negative
Admired,Red,43,43%,Positive
Admired,Blue,14,14%,Positive
Admired,Pink,14,14%,Positive
Admired,Yellow,12,12%,Positive
Admired,Orange,4,4%,Positive
Admired,White,4,4%,Positive
Admired,Black,2,2%,Positive
Admired,Gold,2,2%,Positive
Admired,Green,2,2%,Positive
Admired,Violet,1,1%,Positive
Admired,Light cyan,1,1%,Positive
Admired,Silver,1,1%,Positive
Admired,Sky blue,1,1%,Positive
Affection,Red,49,49%,Positive
Affection,Pink,28,28%,Positive
Affection,Yellow,8,8%,Positive
Affection,Blue,8,8%,Positive
Affection,Purple,3,3%,Positive
Affection,White,2,2%,Positive
Affection,Green,1,1%,Positive
Affection,Light blue,1,1%,Positive
Affection,Gold,1,1%,Positive
Aroused,Red,63,63%,Positive
Aroused,Pink,11,11%,Positive
Aroused,Yellow,7,7%,Positive
Aroused,Blue,6,6%,Positive
Aroused,White,5,5%,Positive
Aroused,Green,3,3%,Positive
Aroused,Brown,2,2%,Positive
Aroused,Black,2,2%,Positive
Aroused,Orange,1,1%,Positive
Aroused,Hot pink,1,1%,Positive
Aroused,Blue-green,1,1%,Positive
Astonished,Yellow,24,24%,Positive
Astonished,White,21,21%,Positive
Astonished,Red,18,18%,Positive
Astonished,Blue,11,11%,Positive
Astonished,Orange,9,9%,Positive
Astonished,Green,6,6%,Positive
Astonished,Black,3,3%,Positive
Astonished,Gray,2,2%,Positive
Astonished,Baby blue,1,1%,Positive
Astonished,Brown,1,1%,Positive
Astonished,Purple,1,1%,Positive
Astonished,Light blue,1,1%,Positive
Astonished,Milk white,1,1%,Positive
Astonished,Chartreuse,1,1%,Positive
Astonished,Cream/ivory,1,1%,Positive
Beautiful,Pink,36,35%,Positive
Beautiful,Blue,20,19%,Positive
Beautiful,Yellow,9,9%,Positive
Beautiful,Purple,8,8%,Positive
Beautiful,White,6,6%,Positive
Beautiful,Red,6,6%,Positive
Beautiful,Black,5,5%,Positive
Beautiful,Green,4,4%,Positive
Beautiful,Brown,2,2%,Positive
Beautiful,Gold,2,2%,Positive
Beautiful,Sky Blue,2,2%,Positive
Beautiful,Orange,1,1%,Positive
Beautiful,Silver,1,1%,Positive
Brave,Red,36,36%,Positive
Brave,Blue,28,28%,Positive
Brave,Gold,8,8%,Positive
Brave,Yellow,5,5%,Positive
Brave,Brown,5,5%,Positive
Brave,Black,4,4%,Positive
Brave,White,3,3%,Positive
Brave,Green,3,3%,Positive
Brave,Orange,3,3%,Positive
Brave,Purple,3,3%,Positive
Brave,Violet,1,1%,Positive
Brave,Silver,1,1%,Positive
Brave,Bronze,1,1%,Positive
Cheer,Yellow,38,38%,Positive
Cheer,Red,24,24%,Positive
Cheer,Blue,11,11%,Positive
Cheer,Pink,8,8%,Positive
