Emotional_Word,RGB_1,RGB_2,RGB_3,RGB_4,RGB_5,RGB_6,RGB_7,RGB_8,RGB_9
Rustic,[[41.10279708 26.1063877  40.44512316]],[[43.62076963  2.13008434 47.73561762]],[[ 47.6825648  -22.73542323  41.22979746]],[[ 4.67170341 21.90032375 -4.94669252]],,,,,
Sturdy,[[36.96845843 36.46186891 46.70170269]],[[26.37361678 11.10409415 32.89547673]],[[ 5.85813996 -6.14009786 -2.92976486]],[[ 17.50106761  49.28944101 -69.69860585]],[[  5.25846225  15.74966229 -18.25178797]],[[ 4.67170341 21.90032375 -4.94669252]],[[ 9.26323429e+00 -5.34652331e-04  1.01345232e-03]],,
Tasteful,[[37.62648776 36.95974326 23.29799735]],[[26.37361678 11.10409415 32.89547673]],[[ 28.14768808 -18.47232265  28.89769599]],[[  8.70711337  27.00764484 -33.01473349]],[[34.3289517  33.05144412 -4.0015988 ]],,,,
Traditional,[[22.60990325 41.22819548 33.51871271]],[[41.10279708 26.1063877  40.44512316]],[[26.37361678 11.10409415 32.89547673]],[[47.49968226 -9.03754552 23.82877573]],[[ 17.50106761  49.28944101 -69.69860585]],[[  8.70711337  27.00764484 -33.01473349]],,,
Aristocratic,[[ 61.09681166  -1.9661452  -19.21104539]],[[ 32.21598127  39.46972704 -37.16881207]],,,,,,,
Bitter,[[43.62076963  2.13008434 47.73561762]],[[  6.15676348 -10.40215869   4.92409124]],[[ 2.12467313e+01 -7.88262163e-04  1.49417868e-03]],,,,,,
Dapper,[[44.24349897  7.56026643 26.29637262]],[[ 13.64440861   1.28436206 -21.61641928]],,,,,,,
Diligent,[[37.62648776 36.95974326 23.29799735]],[[41.10279708 26.1063877  40.44512316]],[[ 47.6825648  -22.73542323  41.22979746]],[[ 16.64464184 -15.22560484  -2.97972042]],[[ 3.48781522e+01 -1.07674743e-03  2.04101267e-03]],,,,
Eminent,[[ 75.25852854 -16.28403232   2.06696544]],[[ 23.59459853  55.81395606 -80.20527099]],[[ 32.21598127  39.46972704 -37.16881207]],,,,,,
Placid,[[48.56375808 71.237139   45.91004705]],[[49.71366796 10.8264862  15.21404084]],[[26.37361678 11.10409415 32.89547673]],[[  6.15676348 -10.40215869   4.92409124]],,,,,
Practical,[[36.96845843 36.46186891 46.70170269]],[[47.49968226 -9.03754552 23.82877573]],[[ 31.50568391 -32.88833524  15.87915303]],[[ 40.2445177  -18.61728663 -11.49518014]],,,,,
Quiet and sophisticated,[[48.56375808 71.237139   45.91004705]],[[11.27554582 14.536714   15.93996623]],[[48.2843494   0.94697791 51.99932612]],[[ 47.6825648  -22.73542323  41.22979746]],[[  6.15676348 -10.40215869   4.92409124]],[[ 2.12467313e+01 -7.88262163e-04  1.49417868e-03]],,,
Serious,[[48.56375808 71.237139   45.91004705]],[[14.41886213  7.32946516 18.9378619 ]],[[13.27290522 -6.20815927 15.33063077]],[[ 5.85813996 -6.14009786 -2.92976486]],[[  5.25846225  15.74966229 -18.25178797]],[[ 4.67170341 21.90032375 -4.94669252]],[[ 3.48781522e+01 -1.07674743e-03  2.04101267e-03]],,
Sound,[[11.27554582 14.536714   15.93996623]],[[44.24349897  7.56026643 26.29637262]],[[ 31.50568391 -32.88833524  15.87915303]],[[ 5.31927775e+01 -1.46434456e-03  2.77571668e-03]],,,,,
Strong and robust,[[48.56375808 71.237139   45.91004705]],[[11.27554582 14.536714   15.93996623]],[[14.41886213  7.32946516 18.9378619 ]],[[  6.15676348 -10.40215869   4.92409124]],[[  6.39525404  -2.36574872 -11.31479444]],[[ 17.50106761  49.28944101 -69.69860585]],[[12.84911323 34.55986006 -0.49998933]],,
Subtle and mysterious,[[49.71366796 10.8264862  15.21404084]],[[44.24349897  7.56026643 26.29637262]],[[ 28.14768808 -18.47232265  28.89769599]],[[ 61.09681166  -1.9661452  -19.21104539]],[[42.6307447  10.51176397 -4.33141106]],[[ 3.48781522e+01 -1.07674743e-03  2.04101267e-03]],,,
Authoritative,[[47.36824217 -7.09220921 -1.13130581]],[[ 17.50106761  49.28944101 -69.69860585]],[[ 2.12467313e+01 -7.88262163e-04  1.49417868e-03]],,,,,,
Dignified,[[48.56375808 71.237139   45.91004705]],[[ 20.33629454 -23.85574707  18.03298193]],[[47.36824217 -7.09220921 -1.13130581]],[[ 17.50106761  49.28944101 -69.69860585]],[[  5.25846225  15.74966229 -18.25178797]],[[ 5.31927775e+01 -1.46434456e-03  2.77571668e-03]],,,
Carnets,[[ 13.64440861   1.28436206 -21.61641928]],[[ 17.76705195  29.19001789 -51.60070363]],[[ 5.31927775e+01 -1.46434456e-03  2.77571668e-03]],,,,,,
Formal,[[ 23.59459853  55.81395606 -80.20527099]],[[ 6.62439473e+01 -1.74054983e-03  3.29927348e-03]],,,,,,,
Majestic,[[ 16.64464184 -15.22560484  -2.97972042]],[[51.68925355  0.91600036 -4.60442656]],[[  8.70711337  27.00764484 -33.01473349]],[[12.84911323 34.55986006 -0.49998933]],[[ 5.31927775e+01 -1.46434456e-03  2.77571668e-03]],,,,
Precious,[[ 23.56566858  -5.16638804 -21.45733172]],[[ 32.21598127  39.46972704 -37.16881207]],,,,,,,
Proper,[[ 17.50106761  49.28944101 -69.69860585]],,,,,,,,
Soleman,[[13.27290522 -6.20815927 15.33063077]],[[47.36824217 -7.09220921 -1.13130581]],[[ 17.50106761  49.28944101 -69.69860585]],[[  5.25846225  15.74966229 -18.25178797]],[[ 4.67170341 21.90032375 -4.94669252]],[[ 6.62439473e+01 -1.74054983e-03  3.29927348e-03]],,,
Sublime,[[47.36824217 -7.09220921 -1.13130581]],[[ 17.76705195  29.19001789 -51.60070363]],[[ 32.55472344  24.66680182 -21.05017443]],[[ 6.62439473e+01 -1.74054983e-03  3.29927348e-03]],,,,,
Clean,[[ 81.08558395 -27.13354583  11.51001235]],[[ 82.18211829 -20.72742506  -4.4461966 ]],[[80.30572244 -7.9617198  -3.82810831]],,,,,,
Clean and fresh,[[ 74.45661864 -42.50826053  70.84423229]],[[ 57.20203825 -46.13871736  29.66369999]],[[ 66.8355462  -40.85994144  14.6197465 ]],[[ 82.18211829 -20.72742506  -4.4461966 ]],[[ 30.87675582  20.19077766 -51.92147266]],,,,
Clear,[[97.26561319 -8.24138131 32.34903896]],[[ 82.18211829 -20.72742506  -4.4461966 ]],[[ 66.76063533  -2.92703075 -24.50336132]],[[ 1.00000000e+02 -2.45493786e-03  4.65342115e-03]],,,,,
Light,[[ 93.80073227 -17.51540731  37.42577957]],[[106.81834768 -21.46237358  -7.01809841]],,,,,,,
Neat,[[ 81.08558395 -27.13354583  11.51001235]],[[ 38.39917307   9.23504818 -38.53862045]],,,,,,,
Pure,[[ 81.08558395 -27.13354583  11.51001235]],[[ 91.07701022 -11.1736516   -1.57068462]],[[ 38.39917307   9.23504818 -38.53862045]],,,,,,
Refreshing,[[ 77.9645252  -35.68821166  34.3512417 ]],[[ 66.8355462  -40.85994144  14.6197465 ]],[[ 73.10864834 -30.36854144  -2.45741637]],[[106.81834768 -21.46237358  -7.01809841]],,,,,
Agile,[[ 52.85168263 -43.30465007  13.27926095]],[[ 73.10864834 -30.36854144  -2.45741637]],[[ 30.87675582  20.19077766 -51.92147266]],,,,,,
Smart,[[ 49.76033539 -12.64467621  10.60733869]],[[ 59.86662035 -43.65085536  13.55946201]],[[ 51.68177736 -23.17898077 -13.21468447]],[[ 66.76063533  -2.92703075 -24.50336132]],,,,,
Steady,[[38.72085487 60.14318711 20.85893435]],[[ 53.59400067 -47.84740234  25.43406598]],[[ 87.8909739  -18.40061826  10.44232277]],[[ 38.39917307   9.23504818 -38.53862045]],,,,,
Youthful,[[ 93.93761507 -14.1167006   81.3486706 ]],[[38.72085487 60.14318711 20.85893435]],[[ 57.20203825 -46.13871736  29.66369999]],[[ 66.8355462  -40.85994144  14.6197465 ]],[[ 73.10864834 -30.36854144  -2.45741637]],[[ 38.39917307   9.23504818 -38.53862045]],[[ 1.00000000e+02 -2.45493786e-03  4.65342115e-03]],,
Cultivated,[[ 81.08558395 -27.13354583  11.51001235]],,,,,,,,
Modern,[[ 52.85168263 -43.30465007  13.27926095]],[[ 51.68177736 -23.17898077 -13.21468447]],[[ 30.13876842   3.73459516 -23.89219951]],[[ 62.5828238   25.37572404 -23.31427703]],[[ 8.84696843e+01 -2.21091882e-03  4.19087447e-03]],,,,
Rational,[[ 40.2445177  -18.61728663 -11.49518014]],[[ 17.76705195  29.19001789 -51.60070363]],[[  5.25846225  15.74966229 -18.25178797]],[[ 8.84696843e+01 -2.21091882e-03  4.19087447e-03]],,,,,
Sharp,[[ 52.85168263 -43.30465007  13.27926095]],[[ 44.3964605  -18.50173489 -20.25809013]],[[ 30.87675582  20.19077766 -51.92147266]],[[ 1.00000000e+02 -2.45493786e-03  4.65342115e-03]],,,,,
Precise,[[ 63.04071075 -24.55503261  -4.07804825]],[[72.60985598 -4.78024268 -2.79093118]],[[ 3.48781522e+01 -1.07674743e-03  2.04101267e-03]],,,,,,
